DAY,PM25,PM10,SO2,NO,NO2
30-Mar-19,12,22,#DIV/0!,4,21
31-Mar-19,13,20,#DIV/0!,5,25
1-Apr-19,14,26,#DIV/0!,20,47
2-Apr-19,16,29,#DIV/0!,14,45
3-Apr-19,17,32,#DIV/0!,11,44
4-Apr-19,17,36,#DIV/0!,9,45
5-Apr-19,25,45,#DIV/0!,22,56
6-Apr-19,14,19,#DIV/0!,9,36
7-Apr-19,25,35,#DIV/0!,9,38
8-Apr-19,19,32,#DIV/0!,21,53
9-Apr-19,10,21,#DIV/0!,7,33
10-Apr-19,11,21,#DIV/0!,10,38
11-Apr-19,13,24,#DIV/0!,11,41
12-Apr-19,16,29,#DIV/0!,31,56
13-Apr-19,19,40,#DIV/0!,38,60
14-Apr-19,30,51,#DIV/0!,71,45
15-Apr-19,20,32,#DIV/0!,32,56
16-Apr-19,14,22,#DIV/0!,15,42
17-Apr-19,27,46,#DIV/0!,61,60
18-Apr-19,22,38,#DIV/0!,43,57
19-Apr-19,16,0,#DIV/0!,15,47
20-Apr-19,0,0,#DIV/0!,19,48
21-Apr-19,0,0,#DIV/0!,10,45
22-Apr-19,18,28,#DIV/0!,33,58
23-Apr-19,27,44,#DIV/0!,32,69
24-Apr-19,27,52,#DIV/0!,46,77
25-Apr-19,28,60,#DIV/0!,69,75
26-Apr-19,30,58,#DIV/0!,32,58
27-Apr-19,36,76,#DIV/0!,47,49
28-Apr-19,37,83,#DIV/0!,16,35
29-Apr-19,19,44,#DIV/0!,6,26
30-Apr-19,13,26,#DIV/0!,7,36
1-May-19,8,17,#DIV/0!,4,26
2-May-19,10,16,#DIV/0!,9,40
3-May-19,12,23,#DIV/0!,11,44
4-May-19,13,24,#DIV/0!,13,45
5-May-19,17,49,#DIV/0!,12,36
6-May-19,14,33,#DIV/0!,10,33
7-May-19,7,17,#DIV/0!,7,30
8-May-19,12,23,#DIV/0!,15,42
9-May-19,16,29,#DIV/0!,15,42
10-May-19,14,26,#DIV/0!,10,41
11-May-19,18,36,#DIV/0!,18,38
12-May-19,19,34,#DIV/0!,23,37
13-May-19,15,27,#DIV/0!,21,53
14-May-19,18,39,#DIV/0!,26,50
15-May-19,17,36,#DIV/0!,19,45
16-May-19,16,28,#DIV/0!,20,42
17-May-19,21,37,#DIV/0!,27,56
18-May-19,23,40,#DIV/0!,32,45
19-May-19,16,27,#DIV/0!,15,43
20-May-19,19,46,#DIV/0!,19,57
21-May-19,22,49,#DIV/0!,26,49
22-May-19,16,35,#DIV/0!,50,69
23-May-19,14,28,#DIV/0!,19,52
24-May-19,11,20,#DIV/0!,8,40
25-May-19,14,23,#DIV/0!,8,37
26-May-19,15,26,#DIV/0!,12,47
27-May-19,19,36,#DIV/0!,39,70
28-May-19,23,42,#DIV/0!,43,54
29-May-19,12,24,#DIV/0!,11,38
30-May-19,14,28,#DIV/0!,20,47
31-May-19,15,30,#DIV/0!,37,58
1-Jun-19,14,25,#DIV/0!,19,38
2-Jun-19,14,25,#DIV/0!,7,30
3-Jun-19,12,19,#DIV/0!,9,36
4-Jun-19,12,21,#DIV/0!,9,36
5-Jun-19,16,26,#DIV/0!,12,39
6-Jun-19,20,45,#DIV/0!,16,45
7-Jun-19,22,49,#DIV/0!,25,53
8-Jun-19,20,44,#DIV/0!,32,51
9-Jun-19,21,45,#DIV/0!,42,45
10-Jun-19,14,29,#DIV/0!,7,28
11-Jun-19,16,29,#DIV/0!,12,40
12-Jun-19,20,37,#DIV/0!,24,52
13-Jun-19,21,38,#DIV/0!,19,53
14-Jun-19,23,47,#DIV/0!,39,67
15-Jun-19,15,32,#DIV/0!,9,34
16-Jun-19,15,31,#DIV/0!,4,25
17-Jun-19,16,29,#DIV/0!,7,41
18-Jun-19,18,35,#DIV/0!,22,57
19-Jun-19,22,40,#DIV/0!,21,60
20-Jun-19,24,42,#DIV/0!,16,52
21-Jun-19,23,44,#DIV/0!,25,57
22-Jun-19,20,37,#DIV/0!,22,49
23-Jun-19,17,33,#DIV/0!,16,46
24-Jun-19,19,41,#DIV/0!,16,59
25-Jun-19,18,38,#DIV/0!,9,36
26-Jun-19,16,32,#DIV/0!,6,25
27-Jun-19,15,32,#DIV/0!,7,30
28-Jun-19,16,31,#DIV/0!,14,46
29-Jun-19,13,28,#DIV/0!,5,24
30-Jun-19,8,21,#DIV/0!,4,18
1-Jul-19,11,23,#DIV/0!,7,27
2-Jul-19,11,24,#DIV/0!,13,46
3-Jul-19,15,31,6,17,59
4-Jul-19,17,37,5,21,59
5-Jul-19,24,44,3,8,54
6-Jul-19,20,37,4,10,52
7-Jul-19,19,31,5,9,44
8-Jul-19,20,40,8,14,58
9-Jul-19,23,43,6,19,63
10-Jul-19,21,44,6,12,55
11-Jul-19,12,27,3,8,34
12-Jul-19,12,21,3,9,39
13-Jul-19,13,26,4,5,32
14-Jul-19,11,25,3,6,26
15-Jul-19,12,22,2,10,39
16-Jul-19,14,25,4,11,39
17-Jul-19,13,22,2,8,31
18-Jul-19,16,23,2,20,50
19-Jul-19,15,26,3,21,51
20-Jul-19,12,22,2,8,37
21-Jul-19,10,22,2,12,38
22-Jul-19,13,24,2,8,40
23-Jul-19,14,26,2,11,45
24-Jul-19,16,30,2,11,47
25-Jul-19,11,22,2,9,35
26-Jul-19,11,24,2,16,44
27-Jul-19,15,32,3,27,53
28-Jul-19,19,35,6,10,46
29-Jul-19,14,33,6,12,42
30-Jul-19,13,29,7,14,46
31-Jul-19,17,32,4,15,51
1-Aug-19,17,34,3,22,54
2-Aug-19,20,37,3,16,56
3-Aug-19,19,36,5,9,46
4-Aug-19,14,31,4,5,31
5-Aug-19,12,22,2,7,34
6-Aug-19,11,22,2,7,35
7-Aug-19,11,22,2,10,44
8-Aug-19,14,28,2,20,57
9-Aug-19,15,34,3,30,53
10-Aug-19,12,35,2,4,26
11-Aug-19,11,20,2,3,21
12-Aug-19,10,23,2,6,31
13-Aug-19,30,47,2,7,37
14-Aug-19,20,36,2,8,38
15-Aug-19,18,33,3,5,30
16-Aug-19,18,37,3,7,39
17-Aug-19,14,27,2,4,24
18-Aug-19,10,20,2,3,21
19-Aug-19,11,25,2,5,29
20-Aug-19,8,20,2,5,28
21-Aug-19,9,24,2,7,31
22-Aug-19,14,34,2,5,31
23-Aug-19,12,38,2,4,27
24-Aug-19,13,36,2,4,27
25-Aug-19,14,35,2,4,26
26-Aug-19,14,37,3,9,40
27-Aug-19,12,30,2,8,35
28-Aug-19,10,26,2,8,33
29-Aug-19,9,25,2,12,43
30-Aug-19,11,30,2,8,38
31-Aug-19,11,31,2,5,27
1-Sep-19,8,25,2,7,29
2-Sep-19,10,28,2,21,52
3-Sep-19,13,30,2,60,66
4-Sep-19,14,33,2,20,54
5-Sep-19,17,36,2,9,41
6-Sep-19,15,32,2,7,37
7-Sep-19,11,24,2,6,36
8-Sep-19,13,30,2,19,52
9-Sep-19,12,30,2,18,55
10-Sep-19,13,31,2,23,56
11-Sep-19,11,26,2,10,41
12-Sep-19,0,0,2,18,45
13-Sep-19,14,38,2,6,27
14-Sep-19,13,43,2,4,28
15-Sep-19,13,35,2,3,24
16-Sep-19,15,31,2,14,48
17-Sep-19,24,46,4,47,63
18-Sep-19,25,47,3,51,61
19-Sep-19,25,46,2,36,56
20-Sep-19,21,43,2,18,46
21-Sep-19,11,25,2,7,28
22-Sep-19,12,27,2,8,33
23-Sep-19,19,39,3,45,50
24-Sep-19,22,45,2,38,47
25-Sep-19,15,31,2,26,45
26-Sep-19,22,37,2,42,43
27-Sep-19,19,38,2,50,51
28-Sep-19,16,29,2,24,49
29-Sep-19,23,38,2,35,47
30-Sep-19,24,42,4,62,61
1-Oct-19,22,45,3,70,57
2-Oct-19,25,42,2,56,51
3-Oct-19,17,38,2,30,45
4-Oct-19,16,45,2,30,40
5-Oct-19,10,22,2,10,32
6-Oct-19,9,20,3,14,40
7-Oct-19,11,20,2,17,40
8-Oct-19,10,19,2,13,28
9-Oct-19,11,20,2,19,37
10-Oct-19,18,36,2,59,48
11-Oct-19,26,54,2,75,61
12-Oct-19,14,31,2,36,43
13-Oct-19,17,31,2,45,48
14-Oct-19,23,46,2,91,63
15-Oct-19,27,55,4,92,68
16-Oct-19,30,56,3,70,60
17-Oct-19,31,53,2,43,54
18-Oct-19,38,60,2,47,46
19-Oct-19,37,58,2,39,43
20-Oct-19,39,58,3,27,41
21-Oct-19,30,52,2,94,57
22-Oct-19,24,43,2,17,42
23-Oct-19,18,34,2,18,39
24-Oct-19,16,34,2,75,58
25-Oct-19,22,52,3,151,70
26-Oct-19,19,39,4,78,54
27-Oct-19,21,41,4,75,56
28-Oct-19,23,41,4,22,43
29-Oct-19,32,54,3,52,51
30-Oct-19,39,63,4,85,55
